id,uses81,distance,time,fuelUsed,latFrom,lngFrom,latTo,lngTo
"fb4a60a2-0b9f-4977-92f0-f39bd8eaeb7d","1",24.332,1643,1.2,42.791162,-76.117143,43.053121,-76.217894"
"fb4a60a2-0b9f-4977-92f0-f39bd8eaeb7d","0",22.813,1873,1.13,42.791162,-76.117143,43.053121,-76.217894"
"fb4a60a2-0b9f-4977-92f0-f39bd8eaeb7d","1",20.357,1288,0.93,42.791162,-76.117143,43.0524,-76.154722"
"fb4a60a2-0b9f-4977-92f0-f39bd8eaeb7d","0",19.185,1360,0.91,42.791162,-76.117143,43.0524,-76.154722"
"479eadd7-81cb-4b9b-b975-5de125299250","0",904.9259,51547,41.9,45.048198,-93.210687,34.536114,-90.590086"
"479eadd7-81cb-4b9b-b975-5de125299250","1",904.9259,51547,41.9,45.048198,-93.210687,34.536114,-90.590086"
"36279db6-ce92-49d2-b23d-2a385c290759","0",75.644,4836,3.66,42.098702,-75.912543,43.070965,-76.170334"
"36279db6-ce92-49d2-b23d-2a385c290759","1",75.933,4532,3.66,42.098702,-75.912543,43.070965,-76.170334"
"36279db6-ce92-49d2-b23d-2a385c290759","0",11.85,1066,0.63,43.029967,-76.004518,43.070965,-76.170334"
"36279db6-ce92-49d2-b23d-2a385c290759","1",11.85,1066,0.63,43.029967,-76.004518,43.070965,-76.170334"
"36279db6-ce92-49d2-b23d-2a385c290759","1",10.085,919,0.52,43.029967,-76.004518,43.047066,-76.153996"
"36279db6-ce92-49d2-b23d-2a385c290759","0",10.085,919,0.52,43.029967,-76.004518,43.047066,-76.153996"
"36279db6-ce92-49d2-b23d-2a385c290759","1",73.138,4419,3.5,42.098702,-75.912543,43.047066,-76.153996"
"36279db6-ce92-49d2-b23d-2a385c290759","0",73.138,4419,3.5,42.098702,-75.912543,43.047066,-76.153996"
"36279db6-ce92-49d2-b23d-2a385c290759","0",39.651,2569,1.83,43.457605,-76.507694,43.047066,-76.153996"
"36279db6-ce92-49d2-b23d-2a385c290759","1",39.651,2569,1.83,43.457605,-76.507694,43.047066,-76.153996"
